point,x,y,z
point_309,1588905.75,6803949.0,0.6
point_310,1588905.25,6803945.5,0.6
point_311,1588904.75,6803943.0,0.6
point_312,1588904.5,6803939.5,0.6
point_313,1588904.125,6803937.0,0.6
point_314,1588903.625,6803933.5,0.6
point_315,1588903.25,6803930.0,0.6
point_316,1588902.75,6803927.5,0.6
point_317,1588902.5,6803924.0,0.6
point_318,1588902.125,6803921.0,0.6
point_319,1588901.625,6803918.0,0.6
point_320,1588901.25,6803915.5,0.6
point_321,1588900.75,6803912.0,0.6
point_322,1588900.5,6803909.0,0.6
point_323,1588900.125,6803906.0,0.6
point_324,1588899.625,6803903.5,0.6
point_325,1588899.25,6803900.0,0.6
point_326,1588898.75,6803897.0,0.6
point_327,1588898.25,6803894.0,0.6
point_328,1588898.0,6803891.0,0.6
point_329,1588897.5,6803888.0,0.6
point_330,1588897.125,6803885.0,0.6
point_331,1588896.75,6803881.5,0.6
point_332,1588896.25,6803879.0,0.6
point_333,1588914.0,6803987.5,0.6
point_334,1588913.5,6803985.0,0.6
point_335,1588913.125,6803981.5,0.6
point_336,1588912.75,6803979.0,0.6
point_337,1588912.25,6803975.5,0.6
point_338,1588912.0,6803973.0,0.6
point_339,1588911.5,6803969.5,0.6
point_340,1588911.125,6803966.0,0.6
point_341,1588910.75,6803963.5,0.6
point_342,1588910.25,6803960.0,0.6
point_343,1588909.875,6803957.0,0.6
point_344,1588909.5,6803954.0,0.6
point_345,1588909.125,6803951.5,0.6
point_346,1588908.625,6803948.0,0.6
point_347,1588908.25,6803945.0,0.6
point_348,1588907.75,6803942.0,0.6
point_349,1588907.5,6803939.5,0.6
point_350,1588907.125,6803936.0,0.6
point_351,1588906.625,6803933.0,0.6
point_352,1588906.25,6803930.0,0.6
point_353,1588905.75,6803927.5,0.6
point_354,1588905.5,6803924.0,0.6
point_355,1588905.0,6803921.0,0.6
point_356,1588904.5,6803918.0,0.6
point_357,1588904.125,6803915.0,0.6
point_358,1588903.75,6803911.5,0.6
point_359,1588903.25,6803909.0,0.6
point_360,1588903.0,6803905.5,0.6
point_361,1588902.5,6803903.0,0.6
